listing_id,url,title,make,model,year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,city,assembly,registered_in,seller_type,car_age,mileage_per_year,price_per_cc,is_imported,listing_province,registered_province,registered_matches_listing
11671876.0,https://www.pakwheels.com/used-cars/haval-jolion-2024-for-sale-in-gujranwala-11671876,Haval Jolion 2024 for sale in Gujranwala,Haval,Jolion,2024,7000000.0,53563.0,Petrol,Automatic,1500.0,Gujranwala,Local,Sindh,Dealer,2,26781.5,4666.666666666667,0.0,Punjab,Sindh,False
11756705.0,https://www.pakwheels.com/used-cars/honda-vezel-2019-for-sale-in-peshawar-11756705,Honda Vezel 2019 for sale in Peshawar,Honda,Vezel,2019,7600000.0,100015.0,Hybrid,Automatic,1500.0,Peshawar,Imported,Islamabad,Dealer,7,14287.857142857143,5066.666666666667,1.0,KPK,Islamabad,False
11854484.0,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-lahore-11854484,Toyota Corolla 2014 for sale in Lahore,Toyota,Corolla,2014,3500000.0,71500.0,Petrol,Automatic,1600.0,Lahore,Local,Lahore,Dealer,12,5958.333333333333,2187.5,0.0,Punjab,Punjab,True
11866386.0,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-multan-11866386,Toyota Corolla 2019 for sale in Multan,Toyota,Corolla,2019,5100000.0,67000.0,Petrol,Automatic,1600.0,Multan,Local,Punjab,Dealer,7,9571.42857142857,3187.5,0.0,Punjab,Punjab,True
11788993.0,https://www.pakwheels.com/used-cars/hyundai-tucson-2020-for-sale-in-gujranwala-11788993,Hyundai Tucson 2020 for sale in Gujranwala,Hyundai,Tucson,2020,6750000.0,36728.0,Petrol,Automatic,2000.0,Gujranwala,Local,Islamabad,Dealer,6,6121.333333333333,3375.0,0.0,Punjab,Islamabad,False
11833601.0,https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-islamabad-11833601,Hyundai Tucson 2022 for sale in Islamabad,Hyundai,Tucson,2022,7200000.0,89000.0,Petrol,Automatic,2000.0,Islamabad,Local,Islamabad,Dealer,4,22250.0,3600.0,0.0,Islamabad,Islamabad,True
11744572.0,https://www.pakwheels.com/used-cars/chery-tiggo-4-pro-2023-for-sale-in-lahore-11744572,Chery Tiggo 4 Pro 2023 for sale in Lahore,Chery,Tiggo 4 Pro,2023,5249000.0,41000.0,Petrol,Automatic,1498.0,Lahore,Local,Punjab,Dealer,3,13666.666666666666,3504.0053404539385,0.0,Punjab,Punjab,True
11866369.0,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-11866369,Toyota Corolla 2015 for sale in Karachi,Toyota,Corolla,2015,2500000.0,93000.0,Petrol,Manual,1300.0,Karachi,Local,Sindh,Dealer,11,8454.545454545454,1923.076923076923,0.0,Sindh,Sindh,True
11844970.0,https://www.pakwheels.com/used-cars/toyota-fortuner-2019-for-sale-in-islamabad-11844970,Toyota Fortuner 2019 for sale in Islamabad,Toyota,Fortuner,2019,12100000.0,64000.0,Petrol,Automatic,2700.0,Islamabad,Local,Islamabad,Dealer,7,9142.857142857143,4481.481481481482,0.0,Islamabad,Islamabad,True
11844995.0,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2004-for-sale-in-islamabad-11844995,Toyota Land Cruiser 2004 for sale in Islamabad,Toyota,Land Cruiser,2004,13500000.0,125000.0,Petrol,Automatic,4700.0,Islamabad,Imported,Islamabad,Dealer,22,5681.818181818182,2872.340425531915,1.0,Islamabad,Islamabad,True
11867962.0,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-peshawar-11867962,Toyota Corolla 2015 for sale in Peshawar,Toyota,Corolla,2015,3260000.0,20202.0,Petrol,Manual,1300.0,Peshawar,Local,Lahore,Dealer,11,1836.5454545454545,2507.6923076923076,0.0,KPK,Punjab,False
11867782.0,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-lahore-11867782,Honda Civic 2024 for sale in Lahore,Honda,Civic,2024,9000000.0,26000.0,Petrol,Automatic,1500.0,Lahore,Local,Punjab,Dealer,2,13000.0,6000.0,0.0,Punjab,Punjab,True
11867956.0,https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-rawalpindi-11867956,Suzuki Alto 2010 for sale in Rawalpindi,Suzuki,Alto,2010,1100000.0,150000.0,Petrol,Manual,1000.0,Rawalpindi,Local,Punjab,Dealer,16,9375.0,1100.0,0.0,Punjab,Punjab,True
